"","Number_of_mu_Land_Cultivated_lastyear","Total_Income_From_Crops_lastyear","Value_of_Crops_Consumed_lastyear","Yuan_Spent_Raising_Crops_lastyear","Year","HHid","Province","UR","Total_Value_From_Crops_lastyear","CI","time","ratio","logmu","logratio","Y"
"519",4,3500,500,400,2,212404009,"Liaoning","Rural",4000,"Coastal",2,99.7506234413965,1.41098697371026,4.60367530362197,8.29407463978953
"520",3,4000,2000,1000,5,212404009,"Liaoning","Rural",6000,"Coastal",3,332.225913621262,1.1314021114911,5.80611615492994,8.69953141473797
"521",5,7500,200,2000,7,212404009,"Liaoning","Rural",7700,"Coastal",4,399.201596806387,1.62924053973028,5.98971701307542,8.94898859477043
"522",5,3000,1700,2500,11,212404009,"Liaoning","Rural",4700,"Coastal",5,499.001996007984,1.62924053973028,6.21281047568212,8.45533906406755
"523",2,1600,0,280,0,212404010,"Liaoning","Rural",1600,"Coastal",1,139.303482587065,0.741937344729377,4.93737248070493,7.37782140627483
"524",3,2000,500,500,5,212404010,"Liaoning","Rural",2500,"Coastal",3,166.112956810631,1.1314021114911,5.1132698385321,7.82408601005631
"525",2,3000,200,800,7,212404010,"Liaoning","Rural",3200,"Coastal",4,398.009950248756,0.741937344729377,5.98672822403895,8.07093733829955
"526",12,5000,500,800,0,212404011,"Liaoning","Rural",5500,"Coastal",1,66.6111573688593,2.4932054526027,4.2003722158268,8.61252155287346
"527",6,3000,1200,1500,2,212404011,"Liaoning","Rural",4200,"Coastal",2,249.584026622296,1.80828877117927,5.5201962249644,8.34286361351183
"528",7,5000,120,1400,5,212404011,"Liaoning","Rural",5120,"Coastal",3,199.714693295292,1.96009478404727,5.297390403527,8.54092924909282
"529",9,8000,250,2000,7,212404011,"Liaoning","Rural",8250,"Coastal",4,221.975582685905,2.2082744135228,5.40301778647718,9.01798060046739
"530",8,9000,400,3000,11,212404011,"Liaoning","Rural",9400,"Coastal",5,374.531835205993,2.09186406167839,5.92594377093182,9.14847560649938
"531",5,5800,800,1000,0,212404012,"Liaoning","Rural",6600,"Coastal",1,199.600798403194,1.62924053973028,5.29682023842676,8.79484007941489
"532",3,2000,500,1000,2,212404012,"Liaoning","Rural",2500,"Coastal",2,332.225913621262,1.1314021114911,5.80611615492994,7.82408601005631
"533",4,3000,250,1200,5,212404012,"Liaoning","Rural",3250,"Coastal",3,299.25187032419,1.41098697371026,5.70161970530304,8.08644104408119
"534",5,6000,500,1500,7,212404012,"Liaoning","Rural",6500,"Coastal",4,299.40119760479,1.62924053973028,5.70211841622795,8.77957284038077
"535",4,1000,1000,1000,11,212404012,"Liaoning","Rural",2000,"Coastal",5,249.376558603491,1.41098697371026,5.51936495728465,7.60095245829212
"536",3,1200,300,450,0,212404013,"Liaoning","Rural",1500,"Coastal",1,149.501661129568,1.1314021114911,5.007976169286,7.31328705153484
"537",8,4000,0,1200,2,212404013,"Liaoning","Rural",4000,"Coastal",2,149.812734082397,2.09186406167839,5.01005335201679,8.29407463978953
"538",4,10000,3004,5000,5,212404013,"Liaoning","Rural",13004,"Coastal",3,1246.88279301746,1.41098697371026,7.12848214688191,9.47301997133578
"539",10,15000,0,4000,7,212404013,"Liaoning","Rural",15000,"Coastal",4,399.6003996004,2.31253542384721,5.99071526546759,9.61581214672879
"540",6,5000,500,1500,0,212404014,"Liaoning","Rural",5500,"Coastal",1,249.584026622296,1.80828877117927,5.5201962249644,8.61252155287346
"541",6,2700,0,1200,2,212404014,"Liaoning","Rural",2700,"Coastal",2,199.667221297837,1.80828877117927,5.29715279518715,7.9010440883436
"542",6,5000,200,2000,5,212404014,"Liaoning","Rural",5200,"Coastal",3,332.778702163062,1.80828877117927,5.80777816585388,8.55643313515384
"543",6,10000,1000,5000,7,212404014,"Liaoning","Rural",11000,"Coastal",4,831.946755407654,1.80828877117927,6.72388863564568,9.30565964264828
"544",4,2800,0,740,0,212404015,"Liaoning","Rural",2800,"Coastal",1,184.538653366584,1.41098697371026,5.21840069000124,7.93741040981127
"545",6,4000,250,1000,2,212404015,"Liaoning","Rural",4250,"Coastal",2,166.389351081531,1.80828877117927,5.11493134990685,8.35469779105341
"546",3,6000,800,1300,7,212404015,"Liaoning","Rural",6800,"Coastal",4,431.893687707641,1.1314021114911,6.06841097634949,8.82469259693842
"547",7,4000,500,1500,11,212404015,"Liaoning","Rural",4500,"Coastal",5,213.98002853067,1.96009478404727,5.36634991021092,8.41185489773372
"548",3,2000,100,800,2,212404064,"Liaoning","Rural",2100,"Coastal",2,265.78073089701,1.1314021114911,5.58304782814286,7.64974024162538
"549",2,1000,0,500,5,212404064,"Liaoning","Rural",1000,"Coastal",3,248.756218905473,0.741937344729377,5.51687529557086,6.90785527398247
"550",4,6000,0,2000,7,212404064,"Liaoning","Rural",6000,"Coastal",4,498.753117206983,1.41098697371026,6.21231169812617,8.69953141473797
"551",3,2000,1000,900,11,212404064,"Liaoning","Rural",3000,"Coastal",5,299.003322259136,1.1314021114911,5.70078907309389,8.00640090042804
"552",9,3000,30,1000,0,231103001,"Heilongjiang","Urban",3030,"Inland",1,110.987791342952,2.2082744135228,4.71032080170504,8.01635090125915
"553",9,900,800,200,2,231103001,"Heilongjiang","Urban",1700,"Inland",2,22.1975582685905,2.2082744135228,3.10447717778905,7.43844235184368
"554",9,5400,300,2000,5,231103001,"Heilongjiang","Urban",5700,"Inland",3,221.975582685905,2.2082744135228,5.40301778647718,8.6482389975284
"555",9,10200,1000,3000,7,231103001,"Heilongjiang","Urban",11200,"Inland",4,332.963374028857,2.2082744135228,5.80833278427231,9.32367798581475
"556",8,2800,100,800,0,231103002,"Heilongjiang","Urban",2900,"Inland",1,99.8751560549313,2.09186406167839,4.60492171567121,7.97250049813867
"557",4,1000,40,700,2,231103002,"Heilongjiang","Urban",1040,"Inland",2,174.563591022444,1.41098697371026,5.16286178684777,6.94707214135909
"558",3,1500,1000,800,5,231103002,"Heilongjiang","Urban",2500,"Inland",3,265.78073089701,1.1314021114911,5.58304782814286,7.82408601005631
"559",4,3200,9999,1600,7,231103002,"Heilongjiang","Urban",13199,"Inland",4,399.002493765586,1.41098697371026,5.9892182605082,9.48790392443179
"560",10,5500,100,700,0,231103003,"Heilongjiang","Urban",5600,"Inland",1,69.9300699300699,2.31253542384721,4.24892472023997,8.63053973370666
"561",10,4000,0,1500,2,231103003,"Heilongjiang","Urban",4000,"Inland",2,149.85014985015,2.31253542384721,5.01030290452863,8.29407463978953
"562",10,8000,2000,2000,7,231103003,"Heilongjiang","Urban",10000,"Inland",4,199.8001998002,2.31253542384721,5.2978182410066,9.21035037192618
"563",10.5,18000,500,4000,11,231103003,"Heilongjiang","Urban",18500,"Inland",5,380.589914367269,2.36085400111802,5.94198517070043,9.82553141645721
"564",10,5000,0,1500,0,231103004,"Heilongjiang","Urban",5000,"Inland",1,149.85014985015,2.31253542384721,5.01030290452863,8.51721319121624
"565",10,6000,100,2000,2,231103004,"Heilongjiang","Urban",6100,"Inland",2,199.8001998002,2.31253542384721,5.2978182410066,8.71606044346965
"566",14,5000,5000,2500,5,231103004,"Heilongjiang","Urban",10000,"Inland",3,178.443968593862,2.64617479738412,5.18483489354194,9.21035037192618
"567",14,10000,10000,4000,7,231103004,"Heilongjiang","Urban",20000,"Inland",4,285.510349750178,2.64617479738412,5.6546284684299,9.90349255252363
"568",13,5200,100,2000,0,231103005,"Heilongjiang","Urban",5300,"Inland",1,153.727901614143,2.57261223020711,5.03583445553425,8.57548096728674
"569",18,6000,6000,1000,2,231103005,"Heilongjiang","Urban",12000,"Inland",2,55.5247084952804,2.89591193827178,4.01862749993839,9.39267026206875
"570",18,12000,3000,3000,5,231103005,"Heilongjiang","Urban",15000,"Inland",3,166.574125485841,2.89591193827178,5.11604056166775,9.61581214672879
"571",18,11000,2000,6300,7,231103005,"Heilongjiang","Urban",13000,"Inland",4,349.805663520266,2.89591193827178,5.85766358535373,9.47271232872178
"572",4,2200,76,560,0,231103006,"Heilongjiang","Urban",2276,"Inland",1,139.650872817955,1.41098697371026,4.93986135758247,7.73021873101214
"573",10,3000,100,1000,2,231103006,"Heilongjiang","Urban",3100,"Inland",2,99.9000999000999,2.31253542384721,4.60517118498859,8.03918964801747
"574",10,10000,0,4000,7,231103006,"Heilongjiang","Urban",10000,"Inland",4,399.6003996004,2.31253542384721,5.99071526546759,9.21035037192618
"575",10,5000,500,200,0,231103007,"Heilongjiang","Urban",5500,"Inland",1,19.98001998002,2.31253542384721,2.99972528984395,8.61252155287346
"576",14,1400,300,300,2,231103007,"Heilongjiang","Urban",1700,"Inland",2,21.4132762312634,2.64617479738412,3.06867024368801,7.43844235184368
"577",14,5000,1000,3000,5,231103007,"Heilongjiang","Urban",6000,"Inland",3,214.132762312634,2.64617479738412,5.36706309829077,8.69953141473797
"578",14,10000,8000,4000,7,231103007,"Heilongjiang","Urban",18000,"Inland",4,285.510349750178,2.64617479738412,5.6546284684299,9.79813259241842
"579",11,4000,20,1200,0,231103008,"Heilongjiang","Urban",4020,"Inland",1,108.991825613079,2.40694510831829,4.69218996439565,8.29906205692556
"580",10,4000,2000,2000,5,231103008,"Heilongjiang","Urban",6000,"Inland",3,199.8001998002,2.31253542384721,5.2978182410066,8.69953141473797
"581",11,10000,6000,4000,7,231103008,"Heilongjiang","Urban",16000,"Inland",4,363.30608537693,2.40694510831829,5.89552090149311,9.68035025120239
"582",17,6000,3000,2500,0,231103012,"Heilongjiang","Urban",9000,"Inland",1,146.972369194591,2.83907846350861,4.99092477308138,9.10499096736774
"583",18,13000,3000,3000,5,231103012,"Heilongjiang","Urban",16000,"Inland",3,166.574125485841,2.89591193827178,5.11604056166775,9.68035025120239
"584",18,20000,0,5000,7,231103012,"Heilongjiang","Urban",20000,"Inland",4,277.623542476402,2.89591193827178,5.62662616737193,9.90349255252363
"585",14,5000,4000,2000,0,231103013,"Heilongjiang","Urban",9000,"Inland",1,142.755174875089,2.64617479738412,4.96183135395756,9.10499096736774
"586",14,3000,100,2000,2,231103013,"Heilongjiang","Urban",3100,"Inland",2,142.755174875089,2.64617479738412,4.96183135395756,8.03918964801747
"587",15,7200,300,1800,5,231103013,"Heilongjiang","Urban",7500,"Inland",3,119.920053297801,2.71469474382088,4.7876588396356,8.92267163276885
"588",14,15000,3000,2000,7,231103013,"Heilongjiang","Urban",18000,"Inland",4,142.755174875089,2.64617479738412,4.96183135395756,9.79813259241842
"589",17,5500,700,800,0,231103014,"Heilongjiang","Urban",6200,"Inland",1,47.0311581422692,2.83907846350861,3.85293431398974,8.73232069993537
"590",19,15000,1000,3000,2,231103014,"Heilongjiang","Urban",16000,"Inland",2,157.811678064177,2.94968833505258,5.06203587713463,9.68035025120239
"591",30,20000,150,8000,7,231103014,"Heilongjiang","Urban",20150,"Inland",4,266.577807397534,3.40452517175483,5.5860412158679,9.91096453014167
"592",17.5,28000,3000,6000,11,231103014,"Heilongjiang","Urban",31000,"Inland",5,342.661336379212,2.86789890204411,5.8370343926707,10.3417457092685
"593",18,5000,0,1500,2,231103015,"Heilongjiang","Urban",5000,"Inland",2,83.2870627429206,2.89591193827178,4.42349317434532,8.51721319121624
"594",18,25000,10000,8000,7,231103015,"Heilongjiang","Urban",35000,"Inland",4,444.197667962243,2.89591193827178,6.09649476113728,10.4631061976103
"595",10.5,10000,900,5500,11,231103015,"Heilongjiang","Urban",10900,"Inland",5,523.311132254995,2.36085400111802,6.26036725898525,9.29652724248708
"596",10,7000,0,1000,0,231103016,"Heilongjiang","Urban",7000,"Inland",1,99.9000999000999,2.31253542384721,4.60517118498859,8.8536797136497
"597",10,3400,80,1000,2,231103016,"Heilongjiang","Urban",3480,"Inland",2,99.9000999000999,2.31253542384721,4.60517118498859,8.15481630798784
"598",11,8000,1000,3500,7,231103016,"Heilongjiang","Urban",9000,"Inland",4,317.892824704814,2.40694510831829,5.76202881870427,9.10499096736774
"599",10,12000,2000,1000,11,231103016,"Heilongjiang","Urban",14000,"Inland",5,99.9000999000999,2.31253542384721,4.60517118498859,9.54681975142903
"600",12,5000,1000,1500,0,231103019,"Heilongjiang","Urban",6000,"Inland",1,124.895920066611,2.4932054526027,4.82828109730251,8.69953141473797
"601",14,5000,1000,1000,2,231103019,"Heilongjiang","Urban",6000,"Inland",2,71.3775874375446,2.64617479738412,4.26938393814839,8.69953141473797
"602",14,4000,4000,2500,5,231103019,"Heilongjiang","Urban",8000,"Inland",3,178.443968593862,2.64617479738412,5.18483489354194,8.98720932058385
"603",11,11000,400,4000,7,231103019,"Heilongjiang","Urban",11400,"Inland",4,363.30608537693,2.40694510831829,5.89552090149311,9.34137740627394
"604",15,7800,3000,3000,0,231103020,"Heilongjiang","Urban",10800,"Inland",1,199.866755496336,2.71469474382088,5.29815113021322,9.2873106723287
"605",15,5000,100,2500,2,231103020,"Heilongjiang","Urban",5100,"Inland",2,166.55562958028,2.71469474382088,5.11592958504295,8.53701542636332
"606",15,11000,400,3000,7,231103020,"Heilongjiang","Urban",11400,"Inland",4,199.866755496336,2.71469474382088,5.29815113021322,9.34137740627394
"607",14,1000,0,1000,2,231103081,"Heilongjiang","Urban",1000,"Inland",2,71.3775874375446,2.64617479738412,4.26938393814839,6.90785527398247
"608",10,5000,300,4000,5,231103081,"Heilongjiang","Urban",5300,"Inland",3,399.6003996004,2.31253542384721,5.99071526546759,8.57548096728674
"609",14,15000,2000,2500,7,231103081,"Heilongjiang","Urban",17000,"Inland",4,178.443968593862,2.64617479738412,5.18483489354194,9.74097450537399
"610",6,6000,100,1900,0,231104003,"Heilongjiang","Urban",6100,"Inland",1,316.139767054908,1.80828877117927,5.7565006823796,8.71606044346965
"611",10,4000,4000,2000,2,231104003,"Heilongjiang","Urban",8000,"Inland",2,199.8001998002,2.31253542384721,5.2978182410066,8.98720932058385
"612",4,2000,500,500,5,231104003,"Heilongjiang","Urban",2500,"Inland",3,124.688279301746,1.41098697371026,4.82661853567356,7.82408601005631
"613",14,10000,15000,3000,0,231104004,"Heilongjiang","Urban",25000,"Inland",1,214.132762312634,2.64617479738412,5.36706309829077,10.1266351038423
"614",4,2000,1000,200,2,231104004,"Heilongjiang","Urban",3000,"Inland",2,49.8753117206983,1.41098697371026,3.91152911789974,8.00640090042804
"615",8,3500,200,1100,5,231104004,"Heilongjiang","Urban",3700,"Inland",3,137.328339575531,2.09186406167839,4.92310261452863,8.21611512529412
"616",14,20000,10000,2000,0,231104017,"Heilongjiang","Urban",30000,"Inland",1,142.755174875089,2.64617479738412,4.96183135395756,10.3089559939721
"617",5,8000,1500,1800,2,231104017,"Heilongjiang","Urban",9500,"Inland",2,359.281437125749,1.62924053973028,5.88438432339328,9.15905760384902
"618",7,6000,400,1000,5,231104017,"Heilongjiang","Urban",6400,"Inland",3,142.65335235378,1.96009478404727,4.9611183323499,8.76406889422569
"619",24,20000,1660,20000,2,231203006,"Heilongjiang","Urban",21660,"Inland",2,832.98625572678,3.18221184049661,6.72513718509754,9.98322713734949
"620",8,20000,2000,500,7,231203006,"Heilongjiang","Urban",22000,"Inland",4,62.4219725343321,2.09186406167839,4.13551805550874,9.99880227778467
"621",2,20000,1000,2000,11,231203006,"Heilongjiang","Urban",21000,"Inland",5,995.024875621891,0.741937344729377,6.90286823242131,9.95228247859898
"622",6,5000,1000,2000,0,231203013,"Heilongjiang","Urban",6000,"Inland",1,332.778702163062,1.80828877117927,5.80777816585388,8.69953141473797
"623",6,10000,20000,5000,2,231203013,"Heilongjiang","Urban",30000,"Inland",2,831.946755407654,1.80828877117927,6.72388863564568,10.3089559939721
"624",4,30000,600,0,5,231203013,"Heilongjiang","Urban",30600,"Inland",3,0,1.41098697371026,-2.30258509299405,10.328758555909
"625",5,12000,1000,5000,0,231203015,"Heilongjiang","Urban",13000,"Inland",1,998.003992015968,1.62924053973028,6.90585747129978,9.47271232872178
"626",14,40000,1200,20000,2,231203015,"Heilongjiang","Urban",41200,"Inland",2,1427.55174875089,2.64617479738412,7.26378623973383,10.6261959625191
"627",6,70000,1500,9000,7,231203015,"Heilongjiang","Urban",71500,"Inland",4,1497.50415973378,1.80828877117927,7.31162188331948,11.1774541272825
"628",7,300,1000,70,0,231203016,"Heilongjiang","Urban",1300,"Inland",1,9.98573466476462,1.96009478404727,2.31112201602757,7.17019646356812
"629",9,20000,2000,6000,2,231203016,"Heilongjiang","Urban",22000,"Inland",2,665.926748057714,2.2082744135228,6.50132983198273,9.99880227778467
"630",4,27000,900,5000,7,231203016,"Heilongjiang","Urban",27900,"Inland",4,1246.88279301746,1.41098697371026,7.12848214688191,10.2363855520324
"631",2,3000,500,1500,2,231203019,"Heilongjiang","Urban",3500,"Inland",2,746.268656716418,0.741937344729377,6.61521965604212,8.16054681849792
"632",3,2000,700,1000,5,231203019,"Heilongjiang","Urban",2700,"Inland",3,332.225913621262,1.1314021114911,5.80611615492994,7.9010440883436
"633",1,500,700,130,7,231203019,"Heilongjiang","Urban",1200,"Inland",4,128.712871287129,0.0953101798043249,4.85836074103083,7.0901601656374
"634",20,10000,200,4000,0,231204001,"Heilongjiang","Urban",10200,"Inland",1,199.900049975012,3.00071981506503,5.29831761642307,9.23015280314587
"635",7,5000,600,400,2,231204001,"Heilongjiang","Urban",5600,"Inland",2,57.0613409415121,1.96009478404727,4.04587781222513,8.63053973370666
"636",5,4000,500,2000,5,231204001,"Heilongjiang","Urban",4500,"Inland",3,399.201596806387,1.62924053973028,5.98971701307542,8.41185489773372
"637",8,20000,500,8500,7,231204001,"Heilongjiang","Urban",20500,"Inland",4,1061.17353308365,2.09186406167839,6.96722491225239,9.92818504316338
"638",5,30000,100,10000,11,231204001,"Heilongjiang","Urban",30100,"Inland",5,1996.00798403194,1.62924053973028,7.59895455562445,10.3122837729906
"639",7,3000,500,1000,2,231204005,"Heilongjiang","Urban",3500,"Inland",2,142.65335235378,1.96009478404727,4.9611183323499,8.16054681849792
"640",3,3000,400,1200,5,231204005,"Heilongjiang","Urban",3400,"Inland",3,398.671096345515,1.1314021114911,5.98838755889522,8.13156012193644
"641",4,4800,300,2000,7,231204005,"Heilongjiang","Urban",5100,"Inland",4,498.753117206983,1.41098697371026,6.21231169812617,8.53701542636332
"642",1.5,3000,1000,300,11,231204005,"Heilongjiang","Urban",4000,"Inland",5,198.675496688742,0.470003629245736,5.29217603053297,8.29407463978953
"643",10,8000,2000,1000,0,231204006,"Heilongjiang","Urban",10000,"Inland",1,99.9000999000999,2.31253542384721,4.60517118498859,9.21035037192618
"644",20,9000,3000,3100,2,231204006,"Heilongjiang","Urban",12000,"Inland",2,154.922538730635,3.00071981506503,5.04357051751345,9.39267026206875
"645",3,12000,5000,5000,5,231204006,"Heilongjiang","Urban",17000,"Inland",3,1661.12956810631,1.1314021114911,7.41531331084351,9.74097450537399
"646",2,1600,200,400,7,231204006,"Heilongjiang","Urban",1800,"Inland",4,199.004975124378,0.741937344729377,5.29383219882615,7.49559749789666
"647",4,5000,600,500,11,231204006,"Heilongjiang","Urban",5600,"Inland",5,124.688279301746,1.41098697371026,4.82661853567356,8.63053973370666
"648",5,6500,2000,2000,0,231204010,"Heilongjiang","Urban",8500,"Inland",1,399.201596806387,1.62924053973028,5.98971701307542,9.04783320711509
"649",5,3500,1000,1200,2,231204010,"Heilongjiang","Urban",4500,"Inland",2,239.520958083832,1.62924053973028,5.47905833355044,8.41185489773372
"650",8,20000,600,7000,5,231204010,"Heilongjiang","Urban",20600,"Inland",3,873.907615480649,2.09186406167839,6.77308908898216,9.93305120913482
"651",4,0,5000,300,11,231204010,"Heilongjiang","Urban",5000,"Inland",5,74.8129675810474,1.41098697371026,4.31632700746077,8.51721319121624
"652",6,1000,800,700,0,231204011,"Heilongjiang","Urban",1800,"Inland",1,116.472545757072,1.80828877117927,4.75851378956324,7.49559749789666
"653",4,4000,800,1000,2,231204011,"Heilongjiang","Urban",4800,"Inland",2,249.376558603491,1.41098697371026,5.51936495728465,8.4763920300123
"654",6,3000,800,120,7,231204011,"Heilongjiang","Urban",3800,"Inland",4,19.9667221297837,1.80828877117927,2.99906282758556,8.2427826611577
"655",6,5000,500,2000,11,231204011,"Heilongjiang","Urban",5500,"Inland",5,332.778702163062,1.80828877117927,5.80777816585388,8.61252155287346
"656",15,18000,1000,3000,0,231204012,"Heilongjiang","Urban",19000,"Inland",1,199.866755496336,2.71469474382088,5.29815113021322,9.85219952129262
"657",15,20000,1000,10000,2,231204012,"Heilongjiang","Urban",21000,"Inland",2,666.222518321119,2.71469474382088,6.50177381506693,9.95228247859898
"658",12,20000,200,1000,5,231204012,"Heilongjiang","Urban",20200,"Inland",3,83.2639467110741,2.4932054526027,4.42321592226667,9.91344283387209
"659",5,40000,1000,1000,11,231204012,"Heilongjiang","Urban",41000,"Inland",5,199.600798403194,1.62924053973028,5.29682023842676,10.6213297847079
"660",30,19000,1000,5000,0,231204014,"Heilongjiang","Urban",20000,"Inland",1,166.611129623459,3.40452517175483,5.11626255191598,9.90349255252363
"661",30,40000,1000,15000,2,231204014,"Heilongjiang","Urban",41000,"Inland",2,499.833388870376,3.40452517175483,6.21447486728807,10.6213297847079
"662",20,20000,1000,5000,5,231204014,"Heilongjiang","Urban",21000,"Inland",3,249.875062468766,3.00071981506503,5.52136116276193,9.95228247859898
"663",30,50000,2000,10000,11,231204014,"Heilongjiang","Urban",52000,"Inland",5,333.222259246918,3.40452517175483,5.80910976750291,10.8590009206386
"664",10,3000,1000,1400,0,231204016,"Heilongjiang","Urban",4000,"Inland",1,139.86013986014,2.31253542384721,4.9413576667855,8.29407463978953
"665",20,15000,900,4500,2,231204016,"Heilongjiang","Urban",15900,"Inland",2,224.887556221889,3.00071981506503,5.41604509499451,9.67408067749672
"666",10,8000,500,3000,5,231204016,"Heilongjiang","Urban",8500,"Inland",3,299.7002997003,2.31253542384721,5.70311658533544,9.04783320711509
"667",10,20000,1000,8000,11,231204016,"Heilongjiang","Urban",21000,"Inland",5,799.200799200799,2.31253542384721,6.68373734450736,9.95228247859898
"668",10,7500,10000,1500,0,231204017,"Heilongjiang","Urban",17500,"Inland",1,149.85014985015,2.31253542384721,5.01030290452863,9.76996187418099
"669",12,6000,1500,3000,2,231204017,"Heilongjiang","Urban",7500,"Inland",2,249.791840133222,2.4932054526027,5.52102818477968,8.92267163276885
"670",4,20000,1000,4000,11,231204017,"Heilongjiang","Urban",21000,"Inland",5,997.506234413965,1.41098697371026,6.90535864375885,9.95228247859898
"671",10,7000,3000,1000,5,231204019,"Heilongjiang","Urban",10000,"Inland",3,99.9000999000999,2.31253542384721,4.60517118498859,9.21035037192618
"672",4,14000,1000,3000,7,231204019,"Heilongjiang","Urban",15000,"Inland",4,748.129675810474,1.41098697371026,6.61770998406584,9.61581214672879
"673",2,10000,1000,500,11,231204019,"Heilongjiang","Urban",11000,"Inland",5,248.756218905473,0.741937344729377,5.51687529557086,9.30565964264828
"674",16,12800,10000,360,0,231204020,"Heilongjiang","Urban",22800,"Inland",1,22.4859462835728,2.77881927199042,3.1173278669923,10.0345202008978
"675",6,2000,600,800,2,231204020,"Heilongjiang","Urban",2600,"Inland",2,133.111480865225,1.80828877117927,4.89193794707378,7.86330518480841
"676",6,20000,20000,2000,11,231204020,"Heilongjiang","Urban",40000,"Inland",5,332.778702163062,1.80828877117927,5.80777816585388,10.5966372330929
"677",15,4000,2000,800,0,232102002,"Heilongjiang","Rural",6000,"Inland",1,53.2978014656895,2.71469474382088,3.97776957406409,8.69953141473797
"678",23,8000,7000,2000,2,232102002,"Heilongjiang","Rural",15000,"Inland",2,86.9187309865276,3.13983261752775,4.46612339417686,9.61581214672879
"679",19,5000,15000,6000,5,232102002,"Heilongjiang","Rural",20000,"Inland",3,315.623356128353,2.94968833505258,5.75486637486211,9.90349255252363
"680",35,11000,14000,9900,7,232102002,"Heilongjiang","Rural",25000,"Inland",4,282.776349614396,3.55820113047182,5.64500987500514,10.1266351038423
"681",12,3000,1000,2000,0,232102003,"Heilongjiang","Rural",4000,"Inland",1,166.527893422148,2.4932054526027,5.11576314322221,8.29407463978953
"682",19,5500,3000,2300,2,232102003,"Heilongjiang","Rural",8500,"Inland",2,120.988953182535,2.94968833505258,4.79652542577503,9.04783320711509
"683",19,9000,0,5000,5,232102003,"Heilongjiang","Rural",9000,"Inland",3,263.019463440295,2.94968833505258,5.57260816265819,9.10499096736774
"684",15,4000,1000,1200,0,232102005,"Heilongjiang","Rural",5000,"Inland",1,79.9467021985343,2.71469474382088,4.38261024182377,8.51721319121624
"685",10,8000,2000,5000,2,232102005,"Heilongjiang","Rural",10000,"Inland",2,499.5004995005,2.31253542384721,6.21380877805176,9.21035037192618
"686",30,60000,0,1500,7,232102005,"Heilongjiang","Rural",60000,"Inland",4,49.9833388870377,3.40452517175483,3.91368839563647,11.0021015078695
"687",60,30000,150,7500,0,232102006,"Heilongjiang","Rural",30150,"Inland",1,124.97917013831,4.09600984154116,4.82894689792029,10.3139435188994
"688",70,30000,0,1000,2,232102006,"Heilongjiang","Rural",30000,"Inland",2,14.2836737608913,4.24992279404054,2.66609379677762,10.3089559939721
"689",30,16000,200,6000,5,232102006,"Heilongjiang","Rural",16200,"Inland",3,199.933355548151,3.40452517175483,5.29848413038293,9.69277269404093
"690",24,16000,0,3000,2,232102007,"Heilongjiang","Rural",16000,"Inland",2,124.947938359017,3.18221184049661,4.82869717065447,9.68035025120239
"691",15,9000,300,1700,5,232102007,"Heilongjiang","Rural",9300,"Inland",3,113.25782811459,2.71469474382088,4.73054943601214,9.13778043177171
"692",19,16000,200,2500,7,232102007,"Heilongjiang","Rural",16200,"Inland",4,131.509731720147,2.94968833505258,4.87984096539835,9.69277269404093
"693",20,7000,1000,3000,0,232102008,"Heilongjiang","Rural",8000,"Inland",1,149.925037481259,3.00071981506503,5.01080219670897,8.98720932058385
"694",23,15000,0,3000,2,232102008,"Heilongjiang","Rural",15000,"Inland",2,130.378096479791,3.13983261752775,4.87120536960879,9.61581214672879
"695",23,18000,400,4000,7,232102008,"Heilongjiang","Rural",18400,"Inland",4,173.837461973055,3.13983261752775,5.1586958206619,9.82011137836492
"696",20,10000,300,3000,0,232102009,"Heilongjiang","Rural",10300,"Inland",1,149.925037481259,3.00071981506503,5.01080219670897,9.23990888290846
"697",28,10000,500,4000,2,232102009,"Heilongjiang","Rural",10500,"Inland",2,142.806140664049,3.3357695763397,4.96218805576938,9.25914005990979
"698",22,12000,0,3000,5,232102009,"Heilongjiang","Rural",12000,"Inland",3,136.301681054066,3.09557760852371,4.91560406977672,9.39267026206875
"699",30,20000,500,7000,7,232102009,"Heilongjiang","Rural",20500,"Inland",4,233.255581472842,3.40452517175483,5.45256339099918,9.92818504316338
"700",20,2000,2000,1000,0,232102010,"Heilongjiang","Rural",4000,"Inland",1,49.9750124937531,3.00071981506503,3.91352213105266,8.29407463978953
"701",15,7000,100,2800,2,232102010,"Heilongjiang","Rural",7100,"Inland",2,186.542305129913,2.71469474382088,5.22919397831154,8.86786414743726
"702",16,10000,600,3000,5,232102010,"Heilongjiang","Rural",10600,"Inland",3,187.38288569644,2.77881927199042,5.23368756495888,9.26861871401792
"703",45,32000,100,5000,7,232102010,"Heilongjiang","Rural",32100,"Inland",4,111.086425238836,3.80888224650863,4.71120829917437,10.3766144243781
"704",16,7000,0,3000,0,232102012,"Heilongjiang","Rural",7000,"Inland",1,187.38288569644,2.77881927199042,5.23368756495888,8.8536797136497
"705",30,15000,300,6000,2,232102012,"Heilongjiang","Rural",15300,"Inland",2,199.933355548151,3.40452517175483,5.29848413038293,9.63561464330688
"706",26,28000,700,8000,5,232102012,"Heilongjiang","Rural",28700,"Inland",3,307.574009996155,3.26193531432865,5.72904081335973,10.2646558860622
"707",7,3000,100,600,0,232102014,"Heilongjiang","Rural",3100,"Inland",1,85.5920114122682,1.96009478404727,4.45075960553272,8.03918964801747
